"Trending Date",Country,"Category ID","Comment Count",Title,Likes,"Channel ID",Dislikes,"Publish Date","Video ID",Views
2018-04-23,Denmark,25,4344,"Anchor, Conway spar over husband's tweets",1547,3778,1164,2018-04-22,ZJs7DoAVQbk,383086
2018-05-25,Canada,22,1113,"Ø²Ø±Ù‚ ÙˆØ±Ù‚ ÙÙˆØ± | Ø§Ù„Ø­Ù„Ù‚Ø© Ø§Ù„Ø«Ø§Ù…Ù†Ø©",8540,1973,285,2018-05-24,ZJ-aGc4hIqg,240014
2018-04-25,Denmark,1,42,"Chartanalyse: Bitcoin, EOS, Dash",191,4753,13,2018-04-24,ZITBtrVQ-uw,3938
2018-04-02,Denmark,24,157,"O Sa Mire - Episodi 135",1196,11365,103,2018-04-01,ZIRVA_o1Q3k,128641
2018-05-05,Denmark,24,15,"Folge 2644: Finanzielle Sorgen | Rote Rosen",105,12673,9,2018-05-04,zipJK1Werks,8488
2018-04-06,Canada,27,264,"Is Passive-Aggressiveness a Personality Disorder?",1744,12978,30,2018-04-05,zIkbHeQx3kI,27418
2018-05-24,Denmark,20,1507,"Battlefield V Reveal - IGN Live",13168,7373,4147,2018-05-23,zhousYMIpYY,826673
2018-05-11,Denmark,10,1346,"GAZLIVE | Ð¡ÐµÑ€Ð³ÐµÐ¹ Ð‘ÐµÐ·Ñ€ÑƒÐºÐ¾Ð²",12320,4085,1268,2018-05-10,ZHnSPxiOt2E,313851
2018-04-29,Canada,24,368,"Priyamanaval Episode 1001, 28/04/18",2597,15152,1133,2018-04-28,zhIg2ou0W_M,481341
2018-04-30,India,24,437,"Priyamanaval Episode 1001, 28/04/18",3258,15152,1425,2018-04-28,zhIg2ou0W_M,774072
2018-05-21,US,20,42668,"Game Theory: How RICH is a Pokemon Master?",92920,14165,3157,2018-05-19,ZhEz1cvC1rc,2297532
2018-05-22,US,20,45399,"Game Theory: How RICH is a Pokemon Master?",100990,14165,3891,2018-05-19,ZhEz1cvC1rc,2792823
2018-05-23,US,20,46813,"Game Theory: How RICH is a Pokemon Master?",105582,14165,4454,2018-05-19,ZhEz1cvC1rc,3188544
2018-05-24,US,20,47741,"Game Theory: How RICH is a Pokemon Master?",108438,14165,4844,2018-05-19,ZhEz1cvC1rc,3501233
2018-05-25,US,20,48345,"Game Theory: How RICH is a Pokemon Master?",110335,14165,5120,2018-05-19,ZhEz1cvC1rc,3747604
2018-05-26,US,20,48950,"Game Theory: How RICH is a Pokemon Master?",111964,14165,5411,2018-05-19,ZhEz1cvC1rc,4001472
2018-05-27,US,20,49373,"Game Theory: How RICH is a Pokemon Master?",113061,14165,5600,2018-05-19,ZhEz1cvC1rc,4156824
2018-05-28,US,20,49780,"Game Theory: How RICH is a Pokemon Master?",114304,14165,5749,2018-05-19,ZhEz1cvC1rc,4279797
2018-05-29,US,20,50174,"Game Theory: How RICH is a Pokemon Master?",115410,14165,5856,2018-05-19,ZhEz1cvC1rc,4390587
2018-05-30,US,20,50372,"Game Theory: How RICH is a Pokemon Master?",116052,14165,5927,2018-05-19,ZhEz1cvC1rc,4459181
2018-05-31,US,20,50712,"Game Theory: How RICH is a Pokemon Master?",117231,14165,6054,2018-05-19,ZhEz1cvC1rc,4600039
